"Sistema","Region","ZdC"
"SIN","CENTRAL","CENTRO ORIENTE"
"SIN","CENTRAL","VDM SUR"
"SIN","CENTRAL","VDM NORTE"
"SIN","CENTRAL","CENTRO SUR"
"SIN","CENTRAL","VDM CENTRO"
"SIN","CENTRAL","LAZARO CARDENAS"
"SIN","ORIENTAL","SAN CRISTOBAL"
"SIN","ORIENTAL","VERACRUZ"
"SIN","ORIENTAL","IZUCAR"
"SIN","ORIENTAL","XALAPA"
"SIN","ORIENTAL","COATZACOALCOS"
"SIN","ORIENTAL","TECAMACHALCO"
"SIN","ORIENTAL","LOS TUXTLAS"
"SIN","ORIENTAL","PUEBLA"
"SIN","ORIENTAL","POZA RICA"
"SIN","ORIENTAL","CHILPANCINGO"
"SIN","ORIENTAL","SAN MARTIN"
"SIN","ORIENTAL","TLAXCALA"
"SIN","ORIENTAL","TUXTLA"
"SIN","ORIENTAL","CUAUTLA"
"SIN","ORIENTAL","ACAPULCO"
"SIN","ORIENTAL","TAPACHULA"
"SIN","ORIENTAL","TEHUANTEPEC"
"SIN","ORIENTAL","TEZIUTLAN"
"SIN","ORIENTAL","IGUALA"
"SIN","ORIENTAL","CHONTALPA"
"SIN","ORIENTAL","VILLAHERMOSA"
"SIN","ORIENTAL","MORELOS"
"SIN","ORIENTAL","CORDOBA"
"SIN","ORIENTAL","LOS RIOS"
"SIN","ORIENTAL","ORIZABA"
"SIN","ORIENTAL","HUATULCO"
"SIN","ORIENTAL","TEHUACAN"
"SIN","ORIENTAL","CENTRO SUR"
"SIN","ORIENTAL","CUERNAVACA"
"SIN","ORIENTAL","HUAJUAPAN"
"SIN","ORIENTAL","ZIHUATANEJO"
"SIN","ORIENTAL","OAXACA"
"SIN","OCCIDENTAL","ZAMORA"
"SIN","OCCIDENTAL","SAN LUIS POTOSI"
"SIN","OCCIDENTAL","IRAPUATO"
"SIN","OCCIDENTAL","MORELIA"
"SIN","OCCIDENTAL","CIENEGA"
"SIN","OCCIDENTAL","TEPIC VALLARTA"
"SIN","OCCIDENTAL","SAN JUAN DEL RIO"
"SIN","OCCIDENTAL","GUADALAJARA"
"SIN","OCCIDENTAL","APATZINGAN"
"SIN","OCCIDENTAL","ZACATECAS"
"SIN","OCCIDENTAL","AGUASCALIENTES"
"SIN","OCCIDENTAL","COLIMA"
"SIN","OCCIDENTAL","QUERETARO"
"SIN","OCCIDENTAL","CELAYA"
"SIN","OCCIDENTAL","MINAS"
"SIN","OCCIDENTAL","MANZANILLO"
"SIN","OCCIDENTAL","ZACAPU"
"SIN","OCCIDENTAL","ZAPOTLAN"
"SIN","OCCIDENTAL","IXMIQUILPAN"
"SIN","OCCIDENTAL","LEON"
"SIN","OCCIDENTAL","FRESNILLO"
"SIN","OCCIDENTAL","LOS ALTOS"
"SIN","OCCIDENTAL","MATEHUALA"
"SIN","OCCIDENTAL","URUAPAN"
"SIN","OCCIDENTAL","SALVATIERRA"
"SIN","OCCIDENTAL","JIQUILPAN"
"SIN","NOROESTE","NAVOJOA"
"SIN","NOROESTE","HERMOSILLO"
"SIN","NOROESTE","NOGALES"
"SIN","NOROESTE","CABORCA"
"SIN","NOROESTE","LOS MOCHIS"
"SIN","NOROESTE","CULIACAN"
"SIN","NOROESTE","OBREGON"
"SIN","NOROESTE","GUASAVE"
"SIN","NOROESTE","GUAYMAS"
"SIN","NOROESTE","MAZATLAN"
"SIN","NORTE","LAGUNA"
"SIN","NORTE","CAMARGO"
"SIN","NORTE","JUAREZ"
"SIN","NORTE","CUAUHTEMOC"
"SIN","NORTE","CHIHUAHUA"
"SIN","NORTE","DURANGO"
"SIN","NORTE","CASAS GRANDES"
"SIN","NORESTE","TAMPICO"
"SIN","NORESTE","HUASTECA"
"SIN","NORESTE","PIEDRAS NEGRAS"
"SIN","NORESTE","MONTERREY"
"SIN","NORESTE","NUEVO LAREDO"
"SIN","NORESTE","MONCLOVA"
"SIN","NORESTE","REYNOSA"
"SIN","NORESTE","SALTILLO"
"SIN","NORESTE","MONTEMORELOS"
"SIN","NORESTE","HUEJUTLA"
"SIN","NORESTE","VICTORIA"
"SIN","NORESTE","MATAMOROS"
"SIN","NORESTE","SABINAS"
"BCA","BAJA CALIFORNIA","ENSENADA"
"BCA","BAJA CALIFORNIA","MEXICALI"
"BCS","BAJA CALIFORNIA SUR","LOS CABOS"
"BCA","BAJA CALIFORNIA","TIJUANA"
"BCS","BAJA CALIFORNIA SUR","LA PAZ"
"BCA","BAJA CALIFORNIA","SANLUIS"
"BCS","BAJA CALIFORNIA SUR","CONSTITUCION"
"SIN","PENINSULAR","RIVIERA MAYA"
"SIN","PENINSULAR","CAMPECHE"
"SIN","PENINSULAR","MERIDA"
"SIN","PENINSULAR","CANCUN"
"SIN","PENINSULAR","MOTUL TIZIMIN"
"SIN","PENINSULAR","CARMEN"
"SIN","PENINSULAR","CHETUMAL"
"SIN","PENINSULAR","TICUL"
